ZIP_ID,Zip_Code,City_Name,Population_est,People__Sq_Mile,city_std,lat,lon
94,28144,"Salisbury, North Carolina","26,497",859.81,Salisbury,35.706749,-80.464802
95,28666,"Icard, North Carolina",530,859.49,Icard,35.725742,-81.472044
96,28707,"Balsam, North Carolina",49,848.97,Balsam,35.419332,-83.079839
97,28072,"Granite Quarry, North Carolina",262,839.31,Granite Quarry,35.616364,-80.443266
98,27127,"Winston Salem, North Carolina","26,663",837.54,Winston Salem,36.017948,-80.277266
99,28791,"Hendersonville, North Carolina","12,430",802.84,Hendersonville,35.356404,-82.516094
100,28273,"Charlotte, North Carolina","18,281",801.76,Charlotte,35.127365,-80.946828
101,27265,"High Point, North Carolina","32,607",796.66,High Point,36.015599,-80.035747
102,28101,"Mc Adenville, North Carolina",482,781.34,Mc Adenville,35.256604,-81.082145
103,28052,"Gastonia, North Carolina","37,076",765.7,Gastonia,35.214656,-81.233227
104,27455,"Greensboro, North Carolina","22,619",756.79,Greensboro,36.184321,-79.81083
105,28098,"Lowell, North Carolina","2,656",755.97,Lowell,35.271041,-81.098623
106,28758,"Mountain Home, North Carolina",629,750.4,Mountain Home,35.373906,-82.495061
107,28081,"Kannapolis, North Carolina","23,696",735.51,Kannapolis,35.50199,-80.673353
108,27858,"Greenville, North Carolina","45,015",728.42,Greenville,35.53173,-77.284172
109,27514,"Chapel Hill, North Carolina","50,554",727.99,Chapel Hill,35.875358,-79.034543
110,28311,"Fayetteville, North Carolina","33,101",723.6,Fayetteville,35.167782,-78.887753
111,27406,"Greensboro, North Carolina","50,336",713.23,Greensboro,36.00053,-79.764104
112,28745,"Lake Junaluska, North Carolina",563,700.63,Lake Junaluska,35.520786,-82.96285
113,27878,"Sharpsburg, North Carolina","1,648",698.42,Sharpsburg,35.868929,-77.827117
114,28803,"Asheville, North Carolina","24,107",697.47,Asheville,35.534534,-82.512773
115,28804,"Asheville, North Carolina","19,307",695.27,Asheville,35.647888,-82.564321
116,27509,"Butner, North Carolina","8,590",688.02,Butner,36.138514,-78.778014
117,28671,"Rutherford College, North Carolina",482,687.39,Rutherford College,35.753393,-81.532221
118,28325,"Calypso, North Carolina",373,682.87,Calypso,35.152235,-78.103306
119,28805,"Asheville, North Carolina","15,715",677.47,Asheville,35.625128,-82.484579
120,28307,"Fort Bragg, North Carolina","31,769",669.07,Fort Bragg,35.126386,-79.041011
121,28480,"Wrightsville Beach, North Carolina","2,564",660.63,Wrightsville Beach,34.214915,-77.800872
122,28012,"Belmont, North Carolina","19,024",659.52,Belmont,35.218415,-81.039763
123,28401,"Wilmington, North Carolina","21,799",657.87,Wilmington,34.29231,-77.961714
124,27409,"Greensboro, North Carolina","13,473",637.67,Greensboro,36.082867,-79.951086
125,27703,"Durham, North Carolina","31,682",626.36,Durham,35.961263,-78.811875
126,28637,"Hildebran, North Carolina","1,537",625.67,Hildebran,35.716872,-81.419286
127,28056,"Gastonia, North Carolina","27,584",616.85,Gastonia,35.210248,-81.12692
128,28465,"Oak Island, North Carolina","6,782",616.8,Oak Island,33.912696,-78.107474
129,27603,"Raleigh, North Carolina","31,527",615.78,Raleigh,35.664003,-78.664585
130,27706,"Durham, North Carolina",669,604.51,Durham,35.995817,-78.942483
131,28214,"Charlotte, North Carolina","20,811",603.86,Charlotte,35.272414,-80.967036
132,27804,"Rocky Mount, North Carolina","25,653",597.71,Rocky Mount,35.996946,-77.851497
133,27107,"Winston Salem, North Carolina","38,788",596.65,Winston Salem,36.013158,-80.175491
134,28594,"Emerald Isle, North Carolina","3,501",594.67,Emerald Isle,34.666421,-77.030798
135,27704,"Durham, North Carolina","26,516",572,Durham,36.042446,-78.828771
