id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21947972,Houz Zen: A Pet Friendly Private Suite,141218676,Corey,,28704,35.452827,-82.506241,Entire home/apt,102,2,539,2022-09-05,9.33,2,296,113,
21978697,One Block North of Downtown AVL!,160468605,Cindy,,28801,35.60163,-82.5466,Entire home/apt,185,2,85,2022-08-14,1.54,1,322,24,
22030235,Forested spot 5 minutes to downtown Asheville,10554436,Han,,28805,35.59069,-82.5353,Entire home/apt,121,2,117,2022-08-21,2.18,2,335,24,
22035029,Cozy studio in hot West Asheville.,3449944,Christina,,28806,35.58093,-82.59036,Entire home/apt,64,1,342,2022-09-12,6.11,1,45,126,
22049704,Our Little Getaway,9180037,Marcelle,,28803,35.55382,-82.5109,Entire home/apt,72,3,45,2022-09-11,1.32,1,152,18,
22050248,Top Floor Condo in the Heart of Downtown,8480253,Brian,,28801,35.594032,-82.55325,Entire home/apt,160,1,14,2022-07-24,0.42,8,289,8,
22060000,RV by the creek. 10 Min. to West Asheville,2978620,Jim,,28806,35.6218,-82.66457,Entire home/apt,55,2,211,2022-09-03,4.04,1,163,53,
22063379,Quiet Bright Bedroom Close to Downtown,227432,Elizabeth,,28804,35.61819,-82.55874,Private room,74,1,353,2022-08-24,6.09,1,3,30,
22095619,Comfortable downtown Studio. Walk everywhere.,46001530,Jonathan,,28801,35.59335,-82.55662,Entire home/apt,94,1,275,2022-08-28,4.78,9,307,87,
22107175,"QUIET, COMFY & CLEAN ~ Near Downtown & UNCA!",161496536,Bill And Christina,,28801,35.60805,-82.56018,Entire home/apt,171,1,86,2022-08-08,1.59,2,352,23,
22114590,Comfortable private room in historic B&B,161559240,The Lion And The Rose,,28801,35.60284,-82.56692,Private room,206,1,2,2021-01-02,0.09,6,41,0,
22119778,Large king suite with private balcony and soaking tub,161559240,The Lion And The Rose,,28801,35.60284,-82.56727,Private room,314,1,1,2021-08-02,0.07,6,33,0,
22151438,Mountain Moments Retreats,161767339,Allison,,28806,35.5526,-82.62585,Entire home/apt,299,2,229,2022-09-11,3.98,1,314,25,
22163415,"Amazing Mountain View close to Biltmore, Downtown",92530083,Pat,,28803,35.57169,-82.54077,Entire home/apt,105,2,139,2022-08-09,2.45,1,279,13,
22224397,Avl Getaway: Beautiful & Spacious 2 Bedroom Suite,24764498,Alexis,,28801,35.60576,-82.57573,Entire home/apt,205,1,149,2022-09-05,2.58,1,157,23,
22275691,Charming Historic Cottage on NE edge of downtown.,125379673,Anna,,28801,35.60798,-82.54428,Private room,144,2,132,2022-09-05,2.30,1,340,16,
22306380,Merry Heart Homestay,61329735,Meredith,,28801,35.60433,-82.56904,Entire home/apt,115,2,124,2022-07-31,2.18,1,165,27,
22308959,Mountain Views & Hot Tub at Reeves Cove Cottage,15788000,Lisa,,28715,35.50798,-82.65773,Entire home/apt,215,1,290,2022-08-28,5.21,7,150,39,
22317485,Country Setting - Minutes to Downtown Asheville,163159488,Tia,,28715,35.5583,-82.65192,Entire home/apt,216,2,207,2022-09-05,3.61,1,350,33,
22326909,1 Bedroom Apt. Historic Montford (2/4),34871822,Emma,,28801,35.60006,-82.55962,Entire home/apt,51,30,12,2022-05-29,0.23,4,214,2,
22351697,Cozy Basement Suite: 5 minutes to town or mountain,163438093,Mike,,28804,35.64148,-82.51919,Entire home/apt,50,2,84,2020-08-16,1.58,1,101,0,
22360186,Whole House Sublet 30+ Night Stay 10 Mins to AVL,163503810,Peter,,28806,35.55096,-82.63597,Entire home/apt,72,30,41,2022-02-03,0.74,1,256,1,
22408602,The Sanctuary - Walk to New Belgium & Downtown,76641431,Stephanie,,28806,35.58726,-82.57304,Entire home/apt,92,1,257,2022-08-29,4.73,2,132,36,
22437203,Gardenia - Hotel vibe - Minutes Downtown+ Biltmore,3028199,Florencia,,28803,35.56047,-82.50711,Private room,55,1,606,2022-08-17,10.77,5,163,156,
22437447,Lavander Hotel Vibe room:  5' Downtown +  Biltmore,3028199,Florencia,,28803,35.55991,-82.50493,Private room,44,30,145,2022-08-05,2.58,5,257,5,
22461969,Asheville Cottage in Historic Montford 30 Day Min,164624834,Patrick,,28801,35.60199,-82.56122,Entire home/apt,120,29,3,2021-11-30,0.18,1,119,1,
22486185,Tiny Home Nestled Under Large Trees near Downtown Asheville,19595654,Clifton,,28805,35.58782,-82.50958,Entire home/apt,95,2,528,2022-08-29,9.72,1,81,96,
22503436,Pastoral Escape Close to Asheville,165106505,Randy,,28806,35.65584,-82.64554,Entire home/apt,83,1,472,2022-09-11,8.56,1,217,89,
22510926,Aunt Betsy's bedroom & bathroom with private entry,165207904,Collin,,28801,35.60021,-82.55702,Private room,140,2,12,2019-12-08,0.22,1,198,0,
22511514,AVL Sunshine Daydream House 6 Miles from Downtown,66193031,Darcy,,28806,35.57054,-82.63865,Entire home/apt,147,1,488,2022-08-29,8.87,3,109,121,
22517744,"Serenity Cottage w/HOT TUB & Courtyard, 1 mi<BRPW",59054700,Jodi & Dan,,28806,35.50689,-82.60438,Entire home/apt,90,2,278,2022-08-29,4.89,1,110,65,
22530746,"Cozy Convenience: King Beds, 3 miles to Biltmore",15565480,Nicole,,28803,35.55115,-82.5092,Entire home/apt,88,2,82,2022-07-08,1.45,3,0,5,
22545374,West Asheville Living,8993496,Laura,,28806,35.567,-82.59423,Entire home/apt,94,1,179,2022-09-04,3.19,1,62,32,
22584773,Mid-Century inspired space in quiet neighborhood,128356088,Stephanie,,28806,35.50927,-82.6086,Entire home/apt,200,3,113,2022-03-07,2.00,2,0,1,
22589049,Stunning 1902 Cottage! Walk to downtown Asheville!,10643735,Carol,,28801,35.59895,-82.56055,Entire home/apt,93,28,7,2021-12-24,0.18,2,83,1,
22594761,Newly Renovated Private Lower Lvl Suite in Oakley,37289690,Andrew,,28803,35.56812,-82.52837,Entire home/apt,99,2,167,2022-09-05,2.97,1,153,46,
22683936,Bright and airy room with tiger oak bed and beautiful bay window,161559240,The Lion And The Rose,,28801,35.6029,-82.56515,Private room,299,1,0,,,6,39,0,
22684105,Romantic B&B room with beautiful canopied four poster bed,161559240,The Lion And The Rose,,28801,35.60438,-82.56544,Private room,236,1,1,2019-12-06,0.03,6,47,0,
22684155,Cozy B&B room with mahogany bed and 2 course breakfast,161559240,The Lion And The Rose,,28801,35.60301,-82.56724,Private room,193,1,2,2021-02-06,0.08,6,44,0,
22740737,W. Asheville Spa and Gameroom Getaway,47777952,Mary,,28806,35.57233,-82.60316,Entire home/apt,118,1,156,2022-09-11,2.83,2,160,24,
22773505,the BEAR DEN—separate HVAC+walk 2 Sunny Point Café,29009882,Brooklyn,,28806,35.58178,-82.58958,Entire home/apt,125,2,369,2022-09-07,6.69,1,106,74,
22792399,Private Guest Suite in River Arts District (WECAN),34236761,Marty,,28801,35.58947,-82.56626,Entire home/apt,155,1,117,2022-09-05,2.08,1,113,15,
22813165,Janina's Cozy Studio at Biltmore Central Asheville,168602517,Janice,,28803,35.55865,-82.53189,Private room,85,2,157,2022-09-12,2.84,1,301,30,
