created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,retweeted_status,quoted_status,text,favorited_by,display_text_width,quoted_status_id,quoted_status_id_str,quoted_status_permalink,metadata,query,possibly_sensitive_appealable
Wed Aug 03 07:59:56 +0000 2022,1554738826085650400,1554738826085650432,"Mark Finchem, an adamant election denier and conspiracy theory promoter, won Arizona’s Republican nomination for secretary of state, the state's top elections post. https://t.co/vmzwKuU9kO",FALSE,188,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,30,65,FALSE,FALSE,FALSE,en,,,"Mark Finchem, an adamant election denier and conspiracy theory promoter, won Arizona’s Republican nomination for secretary of state, the state's top elections post. https://t.co/vmzwKuU9kO",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 07:58:35 +0000 2022,1554738487773077500,1554738487773077504,"Blake Masters, a political newcomer aided by the billionaire Peter Thiel and Donald Trump, won the Republican nomination for Arizona's Senate seat.  https://t.co/ODZQYDD9Rz",FALSE,172,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,21,77,FALSE,FALSE,FALSE,en,,,"Blake Masters, a political newcomer aided by the billionaire Peter Thiel and Donald Trump, won the Republican nomination for Arizona's Senate seat.  https://t.co/ODZQYDD9Rz",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 07:27:05 +0000 2022,1554730561364787200,1554730561364787200,"Under Xi Jinping, a campaign by China to seize Taiwan seems increasingly plausible. Yet even experts and officials who monitor China’s military disagree over how ready those forces are to invade, and how inclined Xi would be to take the momentous gamble. https://t.co/jER6OJNj8b",FALSE,278,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,62,177,FALSE,FALSE,FALSE,en,,,"Under Xi Jinping, a campaign by China to seize Taiwan seems increasingly plausible. Yet even experts and officials who monitor China’s military disagree over how ready those forces are to invade, and how inclined Xi would be to take the momentous gamble. https://t.co/jER6OJNj8b",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 07:00:05 +0000 2022,1554723764448919600,1554723764448919552,"Abortion rights supporters won a huge victory in Kansas, one of the most conservative U.S. states, with voters rejecting a constitutional amendment that would have let legislators ban or significantly restrict abortion.

Here's a look at what happened. https://t.co/84946JThax",FALSE,276,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,706,3381,FALSE,FALSE,FALSE,en,,,"Abortion rights supporters won a huge victory in Kansas, one of the most conservative U.S. states, with voters rejecting a constitutional amendment that would have let legislators ban or significantly restrict abortion.

Here's a look at what happened. https://t.co/84946JThax",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 06:40:06 +0000 2022,1554718733813383200,1554718733813383168,Voters in five U.S. states with major primary contests went to the polls on Tuesday. Here’s a rundown of some of the most important wins and losses so far. https://t.co/j3ViKY2Gya,FALSE,179,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,19,93,FALSE,FALSE,FALSE,en,,,Voters in five U.S. states with major primary contests went to the polls on Tuesday. Here’s a rundown of some of the most important wins and losses so far. https://t.co/j3ViKY2Gya,NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 06:35:11 +0000 2022,1554717498846707700,1554717498846707717,"China’s military has said it would conduct a series of live-fire drills circling Taiwan beginning on Thursday, a day after Speaker Nancy Pelosi departs.
https://t.co/O7UJ14Owj1",FALSE,176,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,57,132,FALSE,FALSE,FALSE,en,,,"China’s military has said it would conduct a series of live-fire drills circling Taiwan beginning on Thursday, a day after Speaker Nancy Pelosi departs.
https://t.co/O7UJ14Owj1",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 06:28:45 +0000 2022,1554715880101118e3,1554715880101117952,"Rep. Peter Meijer of Michigan, a Republican who voted to impeach Donald Trump, conceded his primary battle to John Gibbs, a Trump-endorsed far-right challenger. https://t.co/CL965vnCKF",FALSE,184,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,35,107,FALSE,FALSE,FALSE,en,,,"Rep. Peter Meijer of Michigan, a Republican who voted to impeach Donald Trump, conceded his primary battle to John Gibbs, a Trump-endorsed far-right challenger. https://t.co/CL965vnCKF",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 06:20:04 +0000 2022,1554713694071918600,1554713694071918593,"Un buque con granos zarpó del puerto de Odesa, el primero desde la invasión rusa. Pero los expertos dicen que la circulación de exportaciones de granos de Ucrania apenas hará mella en una crisis alimentaria global que, advirtió la ONU, duraría años. https://t.co/IbLLH0O2os",FALSE,273,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,17,49,FALSE,FALSE,FALSE,es,,,"Un buque con granos zarpó del puerto de Odesa, el primero desde la invasión rusa. Pero los expertos dicen que la circulación de exportaciones de granos de Ucrania apenas hará mella en una crisis alimentaria global que, advirtió la ONU, duraría años. https://t.co/IbLLH0O2os",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 06:00:14 +0000 2022,1554708700929065e3,1554708700929064963,"News Analysis: The Taliban has promised moderation even while reinstituting its harsh rule of Afghanistan. Now, the revelation that the Taliban were sheltering Al Qaeda’s leader is likely to harden support for sanctions. https://t.co/UyGrW3ITP6",FALSE,244,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,56,183,FALSE,FALSE,FALSE,en,,,"News Analysis: The Taliban has promised moderation even while reinstituting its harsh rule of Afghanistan. Now, the revelation that the Taliban were sheltering Al Qaeda’s leader is likely to harden support for sanctions. https://t.co/UyGrW3ITP6",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 05:20:22 +0000 2022,1554698669257007e3,1554698669257007104,"Kris Kobach, the former Kansas secretary of state who has made a career out of promoting false claims about elections, won the Republican primary for Kansas attorney general, The Associated Press reported. https://t.co/UD4AeKhzmM",FALSE,229,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,73,133,FALSE,FALSE,FALSE,en,,,"Kris Kobach, the former Kansas secretary of state who has made a career out of promoting false claims about elections, won the Republican primary for Kansas attorney general, The Associated Press reported. https://t.co/UD4AeKhzmM",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 05:20:05 +0000 2022,1554698599958724600,1554698599958724610,"RT @Christina_M18: “I wish this was always trending,” Meg Antonelli said, “because I love pickles.”
https://t.co/buglapoc1h",FALSE,123,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,14,0,FALSE,FALSE,FALSE,en,,,"RT @Christina_M18: “I wish this was always trending,” Meg Antonelli said, “because I love pickles.”
https://t.co/buglapoc1h",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 05:00:05 +0000 2022,1554693567330881500,1554693567330881537,"A Sandy Hook mother whose six-year-old son was killed in the elementary school shooting confronted Alex Jones face-to-face in a courtroom, rebuking the conspiracy broadcaster over his lies. https://t.co/rI9CjMfPVr",FALSE,213,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,88,446,FALSE,FALSE,FALSE,en,,,"A Sandy Hook mother whose six-year-old son was killed in the elementary school shooting confronted Alex Jones face-to-face in a courtroom, rebuking the conspiracy broadcaster over his lies. https://t.co/rI9CjMfPVr",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 04:33:15 +0000 2022,1554686813293486e3,1554686813293486082,"Katie Hobbs, who defended Arizona’s 2020 election results against Republican attempts to overturn the outcome, won the Democratic primary for governor, The AP reported. She will face the Republican primary winner, either Kari Lake or Karrin Taylor Robson. https://t.co/5fDbDvsTT6",FALSE,279,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,724,3913,FALSE,FALSE,FALSE,en,,,"Katie Hobbs, who defended Arizona’s 2020 election results against Republican attempts to overturn the outcome, won the Democratic primary for governor, The AP reported. She will face the Republican primary winner, either Kari Lake or Karrin Taylor Robson. https://t.co/5fDbDvsTT6",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 04:20:04 +0000 2022,1554683493736747e3,1554683493736747008,RT @JennyVrentas: Sue Robinson suggested that Deshaun Watson deserved tougher justice but that the league’s own guidelines — including the…,FALSE,139,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,43,0,FALSE,FALSE,NA,en,,,RT @JennyVrentas: Sue Robinson suggested that Deshaun Watson deserved tougher justice but that the league’s own guidelines — including the…,NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 04:15:41 +0000 2022,1554682391247167500,1554682391247167490,"Breaking News: A federal grand jury has subpoenaed Pat Cipollone, the Trump White House counsel who tried to stop extreme efforts to overturn the 2020 election. https://t.co/6k4Kt6HnLZ",FALSE,184,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,169,757,FALSE,FALSE,FALSE,en,,,"Breaking News: A federal grand jury has subpoenaed Pat Cipollone, the Trump White House counsel who tried to stop extreme efforts to overturn the 2020 election. https://t.co/6k4Kt6HnLZ",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 04:00:02 +0000 2022,1554678452128829400,1554678452128829440,"One company believes that an animal farming-free future goes beyond vegan “meat.” Geltor is bioengineering proteins for luxury skin-care products, shampoo, smoothies and even marshmallows. https://t.co/If0Thrlr8e",FALSE,212,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,23,113,FALSE,FALSE,FALSE,en,,,"One company believes that an animal farming-free future goes beyond vegan “meat.” Geltor is bioengineering proteins for luxury skin-care products, shampoo, smoothies and even marshmallows. https://t.co/If0Thrlr8e",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 03:45:21 +0000 2022,1554674759383793700,1554674759383793665,"Breaking News: Vin Scully, the voice of Dodgers baseball games for 67 summers in Brooklyn and then Los Angeles, has died at 94. https://t.co/tno4XcR96O",FALSE,151,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,160,737,FALSE,FALSE,FALSE,en,,,"Breaking News: Vin Scully, the voice of Dodgers baseball games for 67 summers in Brooklyn and then Los Angeles, has died at 94. https://t.co/tno4XcR96O",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 03:40:07 +0000 2022,1554673440287776800,1554673440287776769,RT @MitchKSmith: Kansas voters decisively rejected an amendment that would have stripped abortion rights from the State Constitution. https…,FALSE,140,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,39,0,FALSE,FALSE,NA,en,,,RT @MitchKSmith: Kansas voters decisively rejected an amendment that would have stripped abortion rights from the State Constitution. https…,NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 03:26:03 +0000 2022,1554669901805142e3,1554669901805142016,"Speaker Nancy Pelosi has met with Taiwan’s president, Tsai Ing-wen.

Pelosi called Taiwan ""among the freest societies in the world."" Her trip is taking place against the backdrop of heated warnings from China, which claims Taiwan as its territory. https://t.co/6PrFOseKAz https://t.co/QaFiICFUh8",FALSE,271,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,566,2119,FALSE,FALSE,FALSE,en,,,"Speaker Nancy Pelosi has met with Taiwan’s president, Tsai Ing-wen.

Pelosi called Taiwan ""among the freest societies in the world."" Her trip is taking place against the backdrop of heated warnings from China, which claims Taiwan as its territory. https://t.co/6PrFOseKAz https://t.co/QaFiICFUh8",NA,NA,NA,NA,,NA,NA,NA
Wed Aug 03 03:26:02 +0000 2022,1554669898068000800,1554669898068000768,"Bitcoin maximalists, or “maxi,” are hard-core evangelists who believe Bitcoin will transform the financial system even as fraud pervades the rest of the crypto ecosystem. The maxis continued buying Bitcoin even after its price plummeted. https://t.co/HvUxGWc0vL",FALSE,261,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",NA,NA,NA,NA,NA,NA,,,NA,FALSE,22,86,FALSE,FALSE,FALSE,en,,,"Bitcoin maximalists, or “maxi,” are hard-core evangelists who believe Bitcoin will transform the financial system even as fraud pervades the rest of the crypto ecosystem. The maxis continued buying Bitcoin even after its price plummeted. https://t.co/HvUxGWc0vL",NA,NA,NA,NA,,NA,NA,NA
