pid,zipcode,own_occ,av_total,land_sf,yr_built,yr_remod,living_area,num_floors,structure_class,r_bldg_styl,r_roof_typ,r_ext_fin,r_total_rms,r_bdrms,r_full_bth,r_half_bth,r_bth_style,r_kitch,r_kitch_style,r_heat_typ,r_ac,r_fplace,r_ext_cnd,r_ovrall_cnd,r_int_cnd,r_int_fin,r_view,zip,Population,Pop_Density,Median_Income,City_State
109400,2136,Y,287100,9588,1955,NA,1423,1.5,R,CP,G,M,7,4,2,0,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109410,2124,N,284300,4858,1935,0,2048,2,R,CL,G,W,8,4,2,0,S,1,S,W,N,0,A,A,A,N,A,02124,47783,15913,48841,"Dorchester Center, MA"
109430,2131,Y,453700,3105,1932,2002,1152,2,R,CL,G,M,6,3,1,1,M,1,M,W,N,0,G,G,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
109440,2132,Y,492200,6670,1965,2004,1489,1.5,R,CP,G,W,6,3,1,1,S,1,M,F,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109460,2136,Y,315100,3529,1960,0,1224,1.5,R,CP,G,W,6,2,2,0,S,1,N,F,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109470,2132,Y,499200,4500,1920,0,1554,2,R,CL,H,M,8,4,1,1,S,1,M,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109480,2136,Y,402400,5000,1968,0,1760,2,R,CL,G,W,8,4,1,1,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109490,2136,Y,249700,3200,1910,0,1176,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109500,2136,Y,268500,6031,1949,0,1040,1,R,RR,G,F,6,3,1,0,S,1,S,F,C,0,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109510,2132,Y,635800,5134,1925,0,1807,2,R,CL,L,S,8,4,2,0,M,1,S,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
109520,2131,Y,295100,3961,1950,2001,1050,1,R,SL,G,M,7,4,1,1,M,1,M,W,N,0,A,A,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
109530,2136,Y,292500,4191,1945,0,1354,1.5,R,CP,G,M,8,4,2,0,S,1,S,F,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109540,2131,N,475200,6000,1950,2016,1075,1,R,CP,G,W,6,4,1,0,M,1,M,F,N,1,G,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109560,2132,Y,427600,3360,1970,1990,1536,2,R,CL,G,M,7,4,1,1,N,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109570,2131,Y,295100,4759,1940,0,929,1,R,CP,G,F,6,3,1,0,S,1,S,F,C,1,A,A,A,N,G,02131,29826,11505,66735,"Roslindale, MA"
109580,2131,N,344000,10286,1900,1989,1760,2,R,CL,G,M,6,2,2,1,N,1,N,E,N,0,A,A,A,N,F,02131,29826,11505,66735,"Roslindale, MA"
109600,2136,Y,242200,5090,1960,0,1032,1,R,RN,G,W,5,2,1,0,S,1,S,W,N,1,A,A,A,N,A,02136,28488,6207,58890,"Hyde Park, MA"
109610,2132,Y,367500,4855,1905,1950,1074,1,R,RN,G,M,7,2,1,0,S,1,S,W,N,0,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109620,2132,Y,635500,6613,1930,2003,2035,2,R,VT,G,S,8,4,3,0,M,1,M,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
109630,2132,N,514200,6503,1960,2002,1224,2,R,CL,G,W,6,3,1,1,M,1,S,W,N,1,A,A,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
109640,2131,Y,467500,9076,1928,0,1456,1,R,BW,G,W,8,5,1,1,S,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109650,2131,Y,501700,3589,1920,2013,1818,2,R,CL,G,M,7,3,1,1,M,1,M,F,N,0,A,A,G,N,A,02131,29826,11505,66735,"Roslindale, MA"
109680,2131,Y,434700,4275,1939,2014,1344,2,R,CL,G,M,6,3,1,1,M,1,M,W,N,1,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109700,2131,N,271500,3000,1940,0,918,1,R,BW,G,A,5,2,1,0,S,1,S,W,N,0,A,A,A,N,A,02131,29826,11505,66735,"Roslindale, MA"
109710,2132,Y,364200,8318,1942,2016,1306,1.5,R,CP,G,M,6,3,2,0,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109730,2132,Y,562100,7125,1920,0,2338,2,R,CL,H,W,9,6,1,1,S,1,S,W,N,1,A,A,A,N,A,02132,36314,13251,75446,"Cambridge, MA"
109740,2132,Y,601600,4590,2007,NA,2352,2,R,CL,H,F,8,4,2,1,M,1,M,F,C,1,G,G,G,N,A,02132,36314,13251,75446,"Cambridge, MA"
