created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,retweeted_status,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,text,favorited_by,scopes,display_text_width,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-03-23T23:21:26Z,1639044713243373600,1639044713243373569,We made history when the Affordable Care Act became law. https://t.co/Xo9RHBfD3N,FALSE,56,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,972,6613,FALSE,FALSE,en,,FALSE,NA,NA,,,We made history when the Affordable Care Act became law. https://t.co/Xo9RHBfD3N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-23T21:00:06Z,1639009147709714400,1639009147709714432,"Thanks to the American Rescue Plan, which not one Republican in Congress voted for, millions have enrolled in the Affordable Care Act, many saving an average of $800 a year for better coverage at better prices.

Some MAGA Republicans have voted repeatedly to try and repeal it.",FALSE,277,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1091,5770,FALSE,FALSE,en,,NA,NA,NA,,,"Thanks to the American Rescue Plan, which not one Republican in Congress voted for, millions have enrolled in the Affordable Care Act, many saving an average of $800 a year for better coverage at better prices.

Some MAGA Republicans have voted repeatedly to try and repeal it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-23T18:00:15Z,1638963885708554200,1638963885708554241,We've built on the Affordable Care Act to lower health care and prescription drug costs even more. If MAGA Republicans in Congress try to take away people’s health care by gutting Medicaid or the Affordable Care Act—I will stop them. https://t.co/QRYtbtHsCd,FALSE,233,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1144,7796,FALSE,FALSE,en,,FALSE,NA,NA,,,We've built on the Affordable Care Act to lower health care and prescription drug costs even more. If MAGA Republicans in Congress try to take away people’s health care by gutting Medicaid or the Affordable Care Act—I will stop them. https://t.co/QRYtbtHsCd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-23T14:00:00Z,1638903426733211600,1638903426733211651,"Thirteen years ago, I proudly stood beside @BarackObama as he signed into law the most consequential expansion of health care in generations: the Affordable Care Act. 

With the stroke of a pen, after decades of tireless efforts, millions of Americans gained peace of mind. https://t.co/vYsWn5RMOg",FALSE,273,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3153,22458,FALSE,FALSE,en,,FALSE,NA,NA,,,"Thirteen years ago, I proudly stood beside @BarackObama as he signed into law the most consequential expansion of health care in generations: the Affordable Care Act. 

With the stroke of a pen, after decades of tireless efforts, millions of Americans gained peace of mind. https://t.co/vYsWn5RMOg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-22T17:45:05Z,1638597679029649400,1638597679029649425,"We’ve restored protections the previous administration rolled back for several national monuments. 

We are not just protecting the lives of people who depend on them—like family farms, rural communities, and more—we are protecting the heart and soul of our nation.",FALSE,265,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1222,6642,FALSE,FALSE,en,,NA,NA,NA,,,"We’ve restored protections the previous administration rolled back for several national monuments. 

We are not just protecting the lives of people who depend on them—like family farms, rural communities, and more—we are protecting the heart and soul of our nation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-21T19:52:06Z,1638267257586438100,1638267257586438155,"After the strongest two years of job growth and new small business applications in history, I am more optimistic than ever that America’s best days are ahead. https://t.co/VApv5ByOAE",FALSE,158,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1491,9193,FALSE,FALSE,en,,FALSE,NA,NA,,,"After the strongest two years of job growth and new small business applications in history, I am more optimistic than ever that America’s best days are ahead. https://t.co/VApv5ByOAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-20T22:46:00Z,1637948633583698e3,1637948633583697920,"We are working every day to bring families more breathing room. Congress should still pass legislation to ensure everybody can get insulin for no more than $35 per month, along with a Junk Fee Prevention Act, and legislation to make child care more affordable and accessible.",FALSE,275,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1338,7698,FALSE,FALSE,en,,NA,NA,NA,,,"We are working every day to bring families more breathing room. Congress should still pass legislation to ensure everybody can get insulin for no more than $35 per month, along with a Junk Fee Prevention Act, and legislation to make child care more affordable and accessible.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-20T19:03:05Z,1637892536650834e3,1637892536650833921,"I signed the American Rescue Plan to lower prices and increase coverage for affordable health care, saving millions of people an average of $800 a year. My new budget for this year would make that permanent. https://t.co/WFHiy5K7m7",FALSE,207,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1362,6598,FALSE,FALSE,en,,FALSE,NA,NA,,,"I signed the American Rescue Plan to lower prices and increase coverage for affordable health care, saving millions of people an average of $800 a year. My new budget for this year would make that permanent. https://t.co/WFHiy5K7m7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-20T17:20:02Z,1637866601495031800,1637866601495031809,"RT @POTUS: I just vetoed my first bill.

This bill would risk your retirement savings by making it illegal to consider risk factors MAGA Ho…",FALSE,140,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,15465,0,FALSE,FALSE,en,,NA,NA,NA,,,"RT @POTUS: I just vetoed my first bill.

This bill would risk your retirement savings by making it illegal to consider risk factors MAGA Ho…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-03-19T19:28:05Z,1637536438911639600,1637536438911639552,"More than 12 million jobs have been created since I took office.

We will continue to make progress in our fight to build an economy from the bottom up and middle out, not the top down. https://t.co/wrZQtcxBQb",FALSE,185,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2023,11370,FALSE,FALSE,en,,FALSE,NA,NA,,,"More than 12 million jobs have been created since I took office.

We will continue to make progress in our fight to build an economy from the bottom up and middle out, not the top down. https://t.co/wrZQtcxBQb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
