symbol,date,open,high,low,close,volume,adjusted
SPY,2019-06-20,296.040009,296.309998,293.130005,295.859985,116570000,279.294495
SPY,2019-06-21,294.130005,295.519989,293.76001,294,83309500,278.888458
SPY,2019-06-24,294.230011,294.579987,293.470001,293.640015,47582700,278.547058
SPY,2019-06-25,293.700012,293.730011,290.640015,290.76001,82028700,275.815002
SPY,2019-06-26,291.75,292.309998,290.350006,290.470001,51584900,275.539917
SPY,2019-06-27,291.309998,292.059998,290.890015,291.5,40355200,276.516998
SPY,2019-06-28,292.579987,293.549988,292.01001,293,59350900,277.93988
SPY,2019-07-01,296.679993,296.920013,294.329987,295.660004,78705600,280.463135
SPY,2019-07-02,295.609985,296.48999,294.679993,296.429993,61504500,281.193542
SPY,2019-07-03,297.179993,298.820007,297.019989,298.799988,40898900,283.441742
SPY,2019-07-05,297.440002,298.640015,296.01001,298.459991,51677300,283.119263
SPY,2019-07-08,297.01001,298.26001,296.220001,296.820007,45841800,281.563477
SPY,2019-07-09,295.540009,297.519989,295.480011,297.190002,41101300,281.914459
SPY,2019-07-10,298.369995,299.660004,297.779999,298.609985,58448500,283.261475
SPY,2019-07-11,299.320007,299.579987,298.200012,299.309998,50826100,283.925568
SPY,2019-07-12,299.850006,300.730011,299.51001,300.649994,40326000,285.196655
SPY,2019-07-15,301.130005,301.130005,300.190002,300.75,33900000,285.291504
SPY,2019-07-16,300.649994,300.880005,299.440002,299.779999,36650100,284.371399
SPY,2019-07-17,299.75,299.929993,297.73999,297.73999,36036300,282.436218
SPY,2019-07-18,297.190002,299.25,296.700012,298.829987,51392600,283.470245
SPY,2019-07-19,300.040009,300.070007,296.980011,297.170013,58678600,281.895569
SPY,2019-07-22,297.609985,298.5,297.040009,297.899994,43638100,282.588013
SPY,2019-07-23,299.140015,300.029999,298.220001,300.029999,44564500,284.608521
SPY,2019-07-24,299.190002,301.440002,299.089996,301.440002,47213200,285.946075
SPY,2019-07-25,300.940002,301,299.109985,300,55394100,284.580109
SPY,2019-07-26,300.76001,302.230011,300.619995,302.01001,45084100,286.486816
SPY,2019-07-29,301.880005,302.01001,300.850006,301.459991,38126500,285.965027
SPY,2019-07-30,299.910004,301.170013,299.48999,300.720001,45849000,285.263062
SPY,2019-07-31,300.98999,301.200012,295.200012,297.429993,104245200,282.142181
SPY,2019-08-01,297.600006,300.869995,293.959991,294.839996,142646600,279.685272
SPY,2019-08-02,293.850006,294.119995,290.899994,292.619995,116749700,277.579407
SPY,2019-08-05,288.089996,288.209991,281.720001,283.820007,178745400,269.231781
SPY,2019-08-06,285.910004,288.040009,284.279999,287.799988,120711700,273.007141
SPY,2019-08-07,284.399994,288.820007,282.040009,287.970001,140572300,273.168427
